id;name;Capacity;City;Country
256;Adelphi Theatre;-1;London;UK
163;Ahoy Club;-1;Chalkidiki;Greece
182;Aithousa John Cassavetes, Limani;-1;Thessaloniki;Greece
191;Aldwych Theatre;-1;London;UK
6;Alexandra Palace;-1;London;UK
241;Ambassadors Theatre;-1;London;UK
205;Apollo Victoria Theatre;-1;London;UK
178;Apothiki G, Limani;-1;Thessaloniki;Greece
141;Archspace;-1;London;UK
211;Art House;-1;Thessaloniki;Greece
185;Arts Theatre;-1;London;UK
23;Athenaeum Kelari;-1;Athens;Greece
181;Babulwnia, Mylos;-1;Thessaloniki;Greece
159;Bar Rumba;-1;London;UK
107;Barbican Hall;-1;London;UK
188;Basiliko Theatro;-1;Thessaloniki;Greece
153;Bianca Road Brewery;-1;London;UK
114;Birthdays;-1;London;UK
164;Block 33;-1;Thessaloniki;Greece
177;Blue Barrel;-1;Thessaloniki;Greece
171;Bootshaus;-1;Cologne;Germany
193;Bridge Theatre;900;London;UK
245;Brighton Centre;-1;Brighton;UK
3;Brixton Academy;4921;London;UK
10;Brixton Electric;-1;London;UK
152;Brixton Jamm;-1;London;UK
131;Buffalo Bar;-1;London;UK
168;Burgas See Garden;-1;Burgas;Bulgaria
112;Bush Hall;425;London;UK
106;Cadogan Hall;-1;London;UK
190;Camden Assembly;-1;London;UK
236;Cavo Paradiso;-1;Mykonos;Greece
260;Charing Cross Theatre;-1;London;UK
122;Courtyard Theatre;-1;London;UK
101;Criterion Theatre;-1;London;UK
102;Curve;-1;Leicester;UK
222;Dance Valley;-1;;Netherlands
155;Decadence;-1;Thessaloniki;Greece
9;Dingwalls;500;London;UK
139;Dominion Theatre;-1;London;UK
259;Duke of Yorks Theatre;-1;London;UK
132;Dukes;-1;London;UK
213;Eightball;-1;Thessaloniki;Greece
7;Electric Ballroom;-1;London;UK
8;Electrowerkz;-1;London;UK
169;Embrace Arts;-1;Leicester;UK
21;Eventim Apollo;-1;London;UK
239;Fabric;-1;London;UK
215;Fire;-1;London;UK
228;Fragma Thermis;-1;Thessaloniki;Greece
143;Gaia Live Stage;-1;Thessaloniki;Greece
13;Garage;-1;London;UK
194;Garrick Theatre;-1;London;UK
137;gazarte;-1;Athens;Greece
227;Ghpedo Makedonikou;-1;Thessaloniki;Greece
251;Gielgud Theatre;-1;London;UK
167;Grand Place;-1;Arras;France
157;Grays Cafe LCB Depot;-1;Leicester;UK
252;Hackney Empire;-1;London;UK
173;Handmade Festival Venues;-1;Leicester;UK
100;Her majestys theatre;-1;London;UK
206;Ilisia volanakis;-1;Athens;Greece
121;Islington Assembly Hall;-1;London;UK
231;Kaka;-1;Thessaloniki;Greece
176;Kalemegdan Fortress;-1;Belgrade;Serbia
253;King Power Stadium;-1;Leicester;UK
103;Kings Cross Theatre;-1;London;UK
147;Kings Place;-1;London;UK
115;Koko;1410;London;UK
195;Kolner Philharmonie;-1;Cologne;Germany
237;Kratiko Wdeio: Melina Melkouri;-1;Thessaloniki;Greece
216;Limani Thessaloniki;-1;Thessaloniki;Greece
212;Liosi Beach Bar;-1;Halkidiki;Greece
97;Liverpool Philharmonic Hall;-1;Liverpool;UK
140;London Coliseum;2359;London;UK
135;London Fields Brewery;-1;London;UK
18;London Palladium;-1;London;UK
154;London Sofar living room;-1;London;UK
99;Lyric Theatre;-1;London;UK
254;Lyttelton Theatre [National Theatre];-1;London;UK
226;Madison;-1;Thessaloniki;Greece
200;Marble Arch Theatre;-1;London;UK
235;Megaro Mousikhs - Aithousa Filwn Mousikhs M1;-1;Thessaloniki;Greece
125;Milton Court Concert Hall;-1;London;UK
218;Moni Lazariston;-1;Thessaloniki;Greece
221;Mylos Apothiki;-1;Thessaloniki;Greece
138;Mylos Club;-1;Thessaloniki;Greece
214;Neraida;-1;Thessaloniki;Greece
201;New London Theatre;-1;London;UK
217;Noel Coward Theatre;-1;London;UK
130;O2 Academy 1 Leicester;-1;Leicester;UK
149;O2 Academy 2 Leicester;-1;Leicester;UK
151;O2 Academy 3 Leicester;-1;Leicester;UK
146;O2 Academy Islington;-1;London;UK
11;O2 Arena;-1;London;UK
14;O2 Forum;2300;London;UK
230;Olimpiako kleisto falirou Taekwodo;-1;Athens;Greece
5;Oslo;-1;London;UK
116;Oval Space;-1;London;UK
196;Palataki (Kuverneio - Kalamaria);-1;Thessaloniki;Greece
180;Pale de Sport;-1;Thessaloniki;Greece
229;Paok Sports Arena;-1;Thessaloniki;Greece
210;PassPort Music Theatre;-1;Athens;Greece
174;Petrovaradin Fortress;-1;Novi Sad;Serbia
199;Phoenix Theatre;-1;London;UK
255;Playhouse Theatre;-1;London;UK
232;Polutexneio;-1;Thessaloniki;Greece
179;Principal Club Theatre;-1;Thessaloniki;Greece
175;Pukkelpop Area in Kiewit;-1;Kiewit;Belgium
118;Purcell Room;-1;London;UK
111;Queen Elizabeth Hall;-1;London;UK
204;Reading Festival Area;-1;Reading;UK
134;Republic;-1;Leicester;UK
1;Roundhouse;1700;London;UK
124;Royal Albert Hall;-1;London;UK
98;Royal Festival Hall;2700;London;UK
126;Royal Festival Hall;-1;London;UK
123;Scala;-1;London;UK
113;Servant Jazz Quarters;-1;London;UK
243;Shaftesbury Theatre;-1;London;UK
172;Shaw Theatre;-1;London;UK
105;Shepherd's Bush Empire;-1;London;UK
234;Skopje Fair;-1;Skopje;Skopje
202;Southwark Playhouse (Large);-1;London;UK
170;Spitimou Groundfloor;-1;Thessaloniki;Greece
246;SSE Arena Wembley;-1;London;UK
4;St Pancras Old Church;-1;London;UK
119;St. Johns Hackney;-1;London;UK
238;Stardust;-1;Thessaloniki;Greece
96;Stauros tou Notou;-1;Athens;Greece
247;Stratopedo Paulou Mela;-1;Thessaloniki;Greece
129;Streetlife Nightclub;-1;Leicester;UK
109;Studio Parathlash;-1;Thessaloniki;Greece
142;Sumo;-1;Leicester;UK
184;Terravibe;-1;Athens;Greece
120;The 100 Club;350;London;UK
15;The Cockpit;-1;London;UK
127;The Cookie Jar;-1;Leicester;UK
249;The Dome;-1;London;UK
158;The Exchange Bar;-1;Leicester;UK
117;The Forum;2300;London;UK
104;The Harold Pinter Theatre;-1;London;UK
19;The Jazz Cafe;-1;London;UK
2;The Laundry;-1;London;UK
128;The Musician Pub;-1;Leicester;UK
186;The Novello Theatre;-1;London;UK
240;The Old Blue Last;-1;London;UK
258;The Old Vic Theatre;1067;London;UK
183;The Other Palace;-1;London;UK
108;The Union Chapel;-1;London;UK
20;The Waiting Room;-1;London;UK
22;Theatre Royal Drury Lane;2196;London;UK
203;Theatre Royal Haymarket;-1;London;UK
250;Theatro Alma;-1;Athens;Greece
187;Theatro Athinaion;-1;Thessaloniki;Greece
160;Theatro Dasous;-1;Thessaloniki;Greece
219;Theatro Ghs;-1;Thessaloniki;Greece
207;Theatro Katia Dandoulaki;-1;Athens;Greece
244;Theatro Likavitou;-1;Athens;Greece
257;Theatro Ora;-1;Thessaloniki;Greece
209;Theatro Pallas;-1;Athens;Greece
208;Theatro Poreia at Victoria;-1;Athens;Greece
136;Theatro Porta;-1;Athens;Greece
233;Theatro Texnhs Aktis Aeliou;-1;Thessaloniki;Greece
242;Thorpe Park Resort;-1;Chertsey;UK
161;tobacco Dock;-1;London;UK
192;Trafalgar Studio 1;-1;London;UK
198;Trafalgar Studio 2;-1;London;UK
220;ULU Live;-1;London;UK
156;Underbelly Festival London: The Spiegeltent;-1;London;UK
248;Varvara;-1;Chalkidiki;Greece
189;Vaudeville Theatre;-1;London;UK
223;Venue Dancestage;-1;Chalkidiki;Greece
165;Victoria Park Leicester;-1;Leicester;UK
16;Victoria park London;-1;London;UK
166;Vilka complex;-1;Thessaloniki;Greece
110;Village Underground;700;London;UK
224;Waterland;-1;Thessaloniki;Greece
17;Wembley Stadium;-1;London;UK
12;XOYO;800;London;UK
162;Ydrogeios;-1;Thessaloniki;Greece
225;Zenit;-1;Thessaloniki;Greece
150;Zigfrid Von Underbelly;-1;London;UK
261;Borderline;300;London;UK
262;Savoy Theatre;1150;London;UK
263;Mikro Pallas;0;Athens;Greece
264;Wyndhams Theatre;0;London;UK
265;Westminster Central Hall;0;London;UK
266;Jerwood Gallery at the Natural Historyâ€Ž Museum;0;London;UK
267;Balabam;0;London;UK
268;Boston Music Room;0;London;UK
269;The Tabernacle;0;London;UK
270;Meridian Water;0;London;UK
271;Piano Man Jazz Club;0;New Delhi;India
272;Kingdom of Dreams;0;Gurugram;India
273;Phonox;0;London;UK
274;EarthH;0;London;UK
275;Royal Court;0;London;UK
276;Menier Chocolate Factory;150;London;UK
277;Paper Dress Vintage;180;Hackney, London;UK
278;Fortune Theatre;0;London;UK
279;Corsica Studios;0;London;UK
280;Printworks;0;London;UK
281;New River Studios;0;London;UK
282;Pryzm;0;Kingston, London;UK
283;The Victoria Dalston;0;London;UK
284;Windmill Brixton;0;London;UK
285;Jermyn Street Theatre;0;London;UK
286;St Bartholomew the Great;0;London;UK
287;Troubadour Wembley Park Theatre;0;London;UK
288;Park Theatre;0;London;UK
289;Next Door Records;0;London;UK
290;Theatro eterias makedonikwn spoudwn;0;Thessaloniki;Greece
291;Lazy Croc Bar;0;Chalkidiki;Greece
292;Philharmonie;0;Berlin;Germany
293;De Montfort Hall;0;Leicester;UK
294;Theatro aristoteleion;0;Thessaloniki;Greece
295;London County Hall;0;London;UK
296;Wilton's Music Hall;0;London;UK
297;Lion and Unicorn Theatre;0;London;UK
298;Tabard Theatre;0;London;UK
299;Troxy;0;London;UK
300;Trafalgar Theatre (ex Trafalgar Studios);0;London;UK
301;The Low Third;0;London;UK
302;Arcola Theatre;0;London;UK
303;Rose Theatre Kingston;0;London;UK
304;Venue MOT;0;London;UK
305;The Shacklewell Arms;0;London;UK
307;Barons Court Theatre;0;London;UK
308;Young Vic;0;London;UK
309;Drayton Arms Theatre;0;London;UK
310;Brockwell Park;0;London;UK
311;Fulham Palace;0;London;UK
312;Hampton Court Palace;0;London;UK
313;Beckenham Place Park;0;London;UK
314;Damyns Hall Aerodrome;0;London;UK
315;Apps Court Farm;0;London;UK
316;Olivier Theatre [National Theatre];0;London;UK
317;The Vanguard Theatre (Camden Stables Market);0;London;UK
318;Theatro sofouli;0;Thessaloniki;Greece
319;Dorfman Theatre (National Theatre);0;London;UK
320;Playground Theatre;0;London;UK
321;Churchill Theatre;0;Bromley;UK
322;New Victoria Theatre;0;Woking;UK
323;Underbelly Boulevard;0;London;UK
324;Yamaha London;0;London;UK
325;Royal College of Music;0;London;UK
326;Sadlers Wells Theatre;1568;London;UK
327;World Heart Beat Embassy ;0;London;UK
328;The Forge (Camden);0;London;UK
329;Gillian Lynne Theatre;0;London;UK
330;Golden Goose Theatre;0;London;UK
331;The Coach House;0;London;UK
332;Club Makossa;0;London;UK
333;Prince Edward Theatre;0;London;UK
334;Hampstead Theatre (Downstairs);0;London;UK
335;Theatro Aulaia;0;Thessaloniki;Greece
336;Lyric Hammersmith Theatre;0;London;UK
337;Theatre Royal Windsor;0;Windsor;UK
338;Soho Theatre;0;London;UK
339;The George Tavern;0;London;UK
340;Piccadilly Theatre;0;London;UK
341;Apollo Theatre;0;London;UK
342;King's Head Theatre;0;London;UK
343;Riverside Studios;0;London;UK
344;Sohoplace Theatre;0;London;UK
345;Moth Club;0;London;UK
346;Greenwich Theatre;0;London;UK
347;Kiln Theatre;0;London;UK
348;Barking Park;0;London;UK
349;Hampstead Theatre (Main Stage);0;London;UK
350;Boston Manor Park;0;London;UK
351;In the Crypt St Martin in the Fields;0;London;UK
352;Peacock Theatre;0;London;UK
353;The Bath House;0;London;UK
354;Drumsheds;0;London;UK
355;The Tabernacle;0;London;UK
357;Two palms;0;London;UK
358;229 London;0;London;UK
359;Royal Opera House;2256;London;UK
360;Etcetera Theatre;0;London;UK
361;Theatro Monis Lazariston;-1;Thessaloniki;Greece
362;Metropolitan Urban Theater;-1;Thessaloniki;Greece
363;Millfield Theatre;0;London;UK
364;Seven Dials Club;0;London;UK
365;New Wimbledon Theatre;0;London;UK
366;Hackney Church;0;London;UK
367;Playhouse East;0;London;UK